Player,pct_2P_2013,pct_0-3_2013,pct_3-10_2013,pct_10-16_2013,pct_16-3P_2013,pct_3P_2013,att_2P_2013,att_0-3_2013,att_3-10_2013,att_10-16_2013,att_16-3P_2013,att_3P_2013
Quincy Acy,.973,.573,.080,.053,.267,.027,.562,.651,.500,.500,.400,.500
Jeff Adrien,.988,.363,.208,.143,.274,.012,.434,.508,.429,.417,.348,.000
Arron Afflalo,.735,.175,.128,.202,.230,.265,.489,.646,.414,.497,.404,.300
Josh Akognon,.500,.000,.000,.000,.500,.500,.500,,,,.500,.500
Cole Aldrich,1.000,.550,.438,.013,.000,.000,.550,.682,.371,1.000,,
Cole Aldrich,1.000,.512,.465,.023,.000,.000,.535,.636,.400,1.000,,
Cole Aldrich,1.000,.595,.405,.000,.000,.000,.568,.727,.333,,,
LaMarcus Aldridge,.989,.215,.192,.197,.385,.011,.488,.694,.447,.438,.418,.143
Lavoy Allen,.998,.275,.222,.165,.335,.002,.455,.664,.436,.360,.342,.000
Ray Allen*,.490,.194,.083,.104,.109,.510,.480,.587,.463,.397,.380,.419
Tony Allen,.962,.520,.149,.063,.230,.038,.458,.581,.295,.375,.306,.125
Al-Farouq Aminu,.960,.489,.224,.080,.167,.040,.486,.642,.368,.316,.266,.211
Lou Amundson,1.000,.654,.272,.037,.037,.000,.395,.547,.136,.000,.000,
Lou Amundson,1.000,.526,.316,.079,.079,.000,.368,.600,.167,.000,.000,
Lou Amundson,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,
Lou Amundson,1.000,.762,.238,.000,.000,.000,.429,.531,.100,,,
Chris Andersen,.976,.805,.106,.008,.057,.024,.575,.646,.231,.000,.286,.667
Alan Anderson,.537,.148,.140,.107,.143,.463,.426,.681,.372,.409,.227,.333
James Anderson,.524,.294,.103,.048,.079,.476,.470,.486,.462,.333,.500,.350
James Anderson,.560,.320,.120,.000,.120,.440,.429,.375,.333,,.667,.455
James Anderson,.515,.287,.099,.059,.069,.485,.481,.517,.500,.333,.429,.327
Ryan Anderson,.500,.191,.097,.069,.143,.500,.464,.587,.333,.312,.463,.382
Carmelo Anthony,.722,.262,.074,.159,.227,.278,.476,.556,.364,.447,.441,.379
